label,text
Positive,Saya bagi tahu ini sebab saya mahu menanam keyakinan dalam diri
Negative,melahirkan rasa kecewa kerana telah melengkapkan semua permohonan pencalonan termasuk membayar deposit
Positive,Kita juga ingin menekankan kepada mereka bahawa usaha membangunkan koperasi juga memerlukan komitmen daripada ahlinya sendiri termasuklah anggota lembaga dan pengurusannya
Negative,"Malangnya, ia terlalu dipolitikkan dan juga dilencongkan Parlimen EU baru-baru ini apabila mereka meluluskan draf itu"
Positive,Perlu ada keseimbangan antara sains agama dan sains sosial
Positive,"Alhamdulillah, pada majlis sama kita turut menerima peruntukan RM41,000 daripada seorang individu dan unit tindakan Dun Bukit Kayu Hitam serta Jitra"
Positive,Harapan tawar masa depan lebih baik dengan meletakkan hak rakyat di tempat yang sebenar dan kedaulatan negara tidak dikompromi
Negative,"Hari ini orang itu menawar diri nak kembali menjadi perdana menteri…hanya ketika saya menjadi perdana menteri, baru jalan ini diluluskan"
Neutral,Anda kena tanya China Press lah sebab saya tak boleh cakap apa yang berlaku dalam mesyuarat jemaah menteri.
Positive,Itu bukan cara betul
Positive,"Tetapi zaman  Datuk Seri Najib, beliau telah buktikan kerajaan liberal dari segi kebebasan sebab itu kita hapuskan ISA dan pinda AUKU untuk beri kebebasan kepada pelajar"
Negative,"Jika pembangkang di negara ini berseterusan bersikap destruktif, saya percaya tidak ada satu kebaikan yang dilakukan oleh kerajaan akan disokong oleh mereka kerana usaha mereka hanyalah membangkang sahaja"
Positive,"Sepanjang program, Jabatan agama Islam Pahang antara terbaik dan banyak membantu golongan ini kembali ke pangkal jalan"
Positive,"Walaupun tidak ada kerusi, hubungan kami dengan PAS baik sepanjang masa dan sangat rapat"
Neutral,"Ini hanya kes terpencil, bukan berlaku (penderaaan dan kematian) setiap hari"
Positive,"Namun akhirnya kami dijatuhkan hukuman penjara, mungkin ada baik dari beberapa segi, dan penangguhan diberikan"
Positive,Walaupun Mary berusia 69 tahun tetapi prestasi cara kerjanya sangat baik seperti orang muda.
Positive,Saya fikir pandangan yang sebegitu tidak menunjukkan kefahaman tentang masalah kehidupan sosial dalam negara.
Positive,Cita-cita besar yang dirancang untuk Malaysia tidak mungkin menjadi kenyataan jika tidak ada dokongan dan sokongan sepenuhnya
Neutral,Industri 4.0 adalah satu revolusi akan datang
Negative,"Tetapi wujud pula parti kecik yang mahu bertanding di Kelantan, sedangkan parti tersebut tidak punyai ramai ahli"
Positive,Saya tidak mengketepikan isu ini begitu sahaja
Negative,Lebih banyak helah menjelang pengundian
Negative,Menteri kewangan dan perdana menteri memilih untuk mempersendakan prestasi ekonominya selama tiga bulan lalu sedangkan sepatutnya beliau harus menilai dirinya selama tempoh lima tahun
Neutral,Selepas itu tiada lagi pertemuan saya dengan Menteri Besar
Negative,Ada anasir luar yang intai kita tapi apa penting ialah kita jaga rumah tangga kita.
Positive,Kita harus berusaha berkomunikasi antara satu sama lain.
Positive,"Rawatan penyakit kronik membabitkan rawatan susulan kes stabil, penyakit kronik dan rawatan kes baru diabetes dan hipertensi turut disediakan di K1M"
Negative,"Maka keghairahannya merayu sumbangan orang ramai bagi dana politik PRU-14 dan menggambarkan dirinya orang biasa dan bukan kaya, adalah perbuatan membodohkan rakyat. "
Negative,Minta semua exco temasuk exco kita meluluskan peruntukan tetapi program ini tidak melibatkan exco kita.
Positive,Harapan juga menjanjikan capaian internet meliputi seluruh kawasan termasuk luar bandar
Positive,Saya bersetuju dengan pegangan Yang Amat Berhormat Perdana Menteri mengenai perkara ini.
Neutral,"Mengikut fail cukai kita, tidak ada. "
Positive,Saya ambil maklum keadaan banjir di Sarawak
Negative,"Semalam, kami dengar rampasan kapal layar Equanimity bernilai hampir RM1 bilion didakwa milik ahli perniagaan, Low Taek Jho, di mana jet Bombardier Global 5000 dia disita awal Februari lalu"
Positive,Teras kelima ialah kewajiban antarabangsa yang menyenaraikan komitmen Malaysia dalam instrumen-instrumen antarabangsa berkaitan hak asasi manusia
Neutral,Beliau (Shahrizat) sudah memaklumkan akan melupakan hasrat menjadi calon di kawasan ini.
Neutral,Gambar saya tidak siarkan untuk menjaga kepentingan semua pihak
Neutral,Beliau menyebut bahawa ‘…penghuni yang memiliki tempat di bandar TRX akan membayar sewa dan kita juga akan menjual plot tanah
Positive,Jadi saya keluarkan memo
Positive,"Inilah istiqomah yang kita lakukan, jadi kalau nak datang, datang atas nama berkhidmat, Alhamdulillah datang, tapi biarlah mengekalkan tradisi yang selama ini menjadi iklim yang diamalkan sekian masa dulu di sini"
Negative,perbuatan itu sentiasa menjadi isu besar dalam mana-mana parti politik dan terserahlah kepada kepimpinan tertinggi parti untuk memahami emosi dan kemahuan pengundi sebelum  membuat keputusan tentang pemilihan calon.
Positive,"Kita yakin dua calon ini akan bekerjasama untuk menghadapi PRU nanti,"
Negative,Apa yang berlaku di bahagian dunia lain juga memberi kesan kepada Malaysia
Neutral,Mereka juga perlu menyatakan jumlah pembeli Rumah Selangorku yang berjaya atau yang sudah menandatangani perjanjian jual beli mengikut projek dan lokasi rumah
Positive,"Kami bersedia untuk berkongsi pengalaman dan pengetahuan dalam pembangunan ekonomi dan sosial dengan negara membangun lain, seperti melalui rangka Program Kerjasama Teknikal Malaysia (MTCP), yang telah menunjukkan kesediaan Malaysia berkongsi pengalaman pembangunannya dengan negara-negara Selatan-Selatan ."
Positive,bukan sahaja untuk berkembang tetapi berkembang maju demi kebaikan negara
Neutral,Bagaimana status Umno sendiri dalam soal ini?
Negative,Keputusan PAS untuk bertanding di Permatang Pauh amatlah dikesali
Positive,Ini menunjukkan peniaga beretika dan memahami tentang tanggungjawab mereka terhadap negara
Positive,Kami menurunkan defisit daripada 6.7 peratus pada tahun 2009 kepada tiga peratus pada tahun lalu
Positive,Kerajaan perlu lebih serius dalam membangunkan sesetengah peralatan ketenteraan kita bagi mengurangkan kebergantungan kepada pembelian luar
Negative,Marah lihat calon berbeza parti bertegur sapa
Positive,Saya amat gembira melihat projek ini berjalan lancar. 
Neutral,Kita tunggu nanti
Positive,"Mengambil kira keadaan yang begitu teruk dan jumlah wang yang didakwa terlibat begitu besar, KWSP harus mengadakan sidang media dan menunjukkan bahawa bon yang dipersoalkan itu masih dimiliki agensi berkenaan"
Neutral,"Mungkin  pemimpin-pemimpin lain dalam Harapan tidak mampu memasuki kawasan Felda, ini termasuklah Menteri Besar Selangor, Datuk Seri Mohamed Azmin Ali"
Negative,"Berpakat dengan Harapan pun boleh, tapi dia marah. "
Positive,Ia merupakan usaha yang sangat dialu-alukan dan membawa impak baru dalam dunia perhotelan di negara ini
Negative,"Kita tidak boleh mengelakkan persepsi orang ramai terhadap undang-undang negara, kerana ia tidak melindungi rakyat yang baik tetapi melindungi penjenayah"
Positive,"menang kes saman ke atas Daily Mirror, sebuah akhbar tempatan di London berhubung kes laporan palsu"
Positive,Saya menasihatkan jika ada peresapan air maka laluannya perlu diubah
Negative,Berita palsu bukan hanya melibatkan kerajaan sahaja
Positive,Kerajaan hari ini terus menggalakkan inisiatif dalam memperkasakan belia ke arah kepimpinan untuk memastikan masa depan yang lebih baik yang dapat memenuhi perkembangan ekonomi yang pesat serta masalah pencemaran alam sekitar
Positive,Apa yang kita mahu ialah ‘kualiti’ pertumbuhan dan bukan ‘kuantiti’ pertumbuhan
Positive,"Kalau nak buat anggaran BN akan kalah, bagi saya tunggulah pilihanraya nanti"
Positive,Mereka kata mereka mahukan pendidikan yang baik untuk anak
Negative,"Apabila dapat surat dari MAB, lain pula jumlah yang diberikan, berbeza dengan jumlah yang dipersetujui di antara pihak keluarga dan peguam"
Positive,Selepas ini kita akan duduk bersama rakan-rakan dan tersukan rundingan
Negative,"Apabila kita membuat fitnah menerusi laman sosial, ia akan memberi impak negatif kepada penama malah keturunan penama"
Positive,Beliau patut sedar Artikel pertama dalam Deklarasi Sejagat Hak Asasi Manusia ialah mengenai kebebasan hati nurani
Positive,Kita tidak mementingkan sama ada pusat Tahfiz itu berdaftar atau tidak..yang penting adalah keselamatan pelajar
Negative,Risiko besar tukar import
Positive,Saya perlu menjaga kebajikan anda.
Positive,wakil rakyat mudah didampingi dan membawa manfaat kepada masyarakat keseluruhannya
Positive,"Walaupun terdapat kekurangan, kesemua mangsa dijaga dengan baik. Saya bagi lima bintang"
Positive,"Walaupun menyedari kemungkinan wacana ini akan menjadi berat sebelah, saya bagaimanapun memilih untuk hadir bagi membolehkan saya mengemukakan beberapa fakta alternatif mengenai kemampuan Tun Dr Mahathir ini"
Neutral,"Namun, kenapa di pihak Indonesia yang rakan kita di negara itu mampu mengambil tindakan kerana sudah ada keputusan yang dibuat DoJ, jadi isu yang berkaitan 1MDB boleh diambil tindakan."
Negative,Rakyat Sabah marah
Positive,meletakkan golongan wanita pada kedudukan paling istimewa
Negative,namun di pihak sana telah meletak batu pemisah dan berterusan membuat serangan dengan melabel kita dengan pelbagai gelaran
Neutral,"Contohnya, sebelum ini undi di sekolah A, tetapi sebab  ada persempadanan baru  jika diguna pakai, mungkin bertukar  ke sekolah  B atau sekolah  C."
Positive,Berita palsu seperti ini perlu dihentikan segera.
Negative,"Sejak Julai, Ogos dan November tahun lalu, Kementerian Kewangan hanya menjawab ada lapan syarikat antarabangsa berminat, kita tanya siapa mereka hanya kata... 'coming soon... coming soon."
Neutral,Jadi bagaimana kita kata negara ini muflis atau negara gagal
Positive,Selebihnya pusat Tahfiz berkenaan dijangka siap diselenggara hujung Mac depan
Positive,Saya berharap permohonan ini dapat dipertimbangkan oleh KKM kerana Hospital Bentong adalah sebuah hospital berpakar
Positive,Ini adalah satu peluang untuk membangunkan pertanian sebagai satu industri dalam ekonomi Malaysia
Positive,"Program ini menolak fahaman perbezaan kaum, bangsa, agama dan umur, malah ia memberi ruang kepada golongan autisme menjadi penyumbang penting dalam hasrat dan misi penubuhannya"
Negative,"Foto itu, mula-mula muncul pada tahun 2014 dan kemudian lesap tetapi kini timbul semula, mungkin kerana pilihan raya umum akan datang"
Positive,"Saya amat berharap spekulasi, andaian yang bukan-bukan tidak dibuat berhubung perkara yang amat sensitif ini"
Negative,"Tuduhan sebegini menyebabkan terjadinya buruk sangka dalam kalangan netizen, lantas menjejaskan reputasi dan integriti anak guam saya"
Negative,"Macam Tan Sri mengatakan, apa sangat mahu dibaca, tak payah bentang"
Neutral,"Sebenarnya kalau kita mahu berunding dengan mereka, kalau kita mahu berbincang dengan mereka, bermakna kita iktiraf tuntutan dia."
Negative,"ditanya memang ramai sahaja yang mahu menetap dan bekerja di sini, tetapi mereka gagal mencari pekerjaan yang bersesuaian dengan bidang mereka"
Positive,"Kita tiada masalah, kalau Amanah nak lawan di semua kerusi Dun pun kita tak gentar"
Negative,"Saya perasan beberapa projek dilaksanakan di tempat yang salah, dan harganya bagi saya bukan betul-betul murah"
Positive,Tetapi saya berpendapat lebih baik jika perdana menteri tidak pegang jawatan menteri kewangan
Positive,Kita tukar-tukar kerana dua kementerian ini penting untuk tentukan keselamatan dan keamanan negara
Neutral,"Dia juga melihat kesan kumulatifnya, yang saya rasa pada umurnya sekarang dan selepas melalui semua itu, ianya cukup."
Positive,Paparan secara langsung itu membolehkan sesi persidangan berkenaan ditonton masyarakat di seluruh dunia
Positive,Ada gelombang sokongan. 
Positive,Rakyat Malaysia diminta sentiasa tenang dan mengikuti berita tempatan untuk mengetahui perkembangan terkini
Positive,"Kerajaan bukannya memandai-mandai buat itu ini, sebaliknya yang dilaksanakan adalah bagi penuhi permintaan atau cadangan diterima daripada peringkat bawahan sendiri"
Negative,"Ini boleh mendorong berlakunya amalan yang salah dalam kalangan masyarakat,"
Negative,Salahguna ini menjadi begitu besar menjelang PRU14
Positive,Kami dapat sahkan kedua-dua pihak sudah perolehi keputusan secara baik dan sulit.
Neutral,Orang boleh masuk ke negara ini
Negative,Saya agak terkilan dengan kenyataan beliau kerana setakat ini ada tiga wanita di kabinet
Positive,Dan kita bersedia untuk berdepan dengan PAS
Positive,Anggota yang bertugas juga dibekalkan dengan alat komunikasi Government Integrated Radio Network (GIRN) oleh Majlis Keselamatan Negara
Positive,Sudah sampai masanya akta berita palsu yang dicadangkan oleh kerajaan disegerakan perlaksanaannya bagi memastikan imej negara dipulihkan demi kebaikan negara dan rakyat.
Positive,Selain itu KR1M 2.0 juga menawarkan harga yang kompetitif bagi 50 stock keeping unit (SKU)  produk berjenama dengan menggunakan bungkusan yang sama bagi produk berkenaan
Positive,"Walaupun sesetengah bersyukur dengan bantuan diterima, lebih ramai percaya kerajaan patut buat lebih baik lagi."
Negative,menyarankan semua pasukan menilai kemampuan kewangan mereka dan tidak terlalu kemaruk untuk menukar pemain import pada jendela perpindahan kedua nanti.
Positive,"Jadi itulah sebab saya ingin jadikan tahun ini tahun teristimewa dan saya akan bekerja lebih kuat, malah timbalan saya pun akan kerja lebih gigih lagi"
Negative,Puncanya tidak dapat dipastikan sama ada mereka kekurangan atau ketiadaan calon berwibawa yang berupaya membawa cabaran
Negative,Perkara ini memalukan dan menjejaskan saya dengan teruk. 
Positive,"Selain itu, Bikum turut memperuntukkan sejumlah RM1.2 juta di Sabah untuk pelbagai bantuan lain termasuk sumbangan kit makanan"
Positive,Kerajaan China melalui duta besarnya (di Malaysia) menyatakan komitmen mengimport minyak sawit (Malaysia) sekiranya negara Kesatuan Eropah (EU) tidak lagi mahu membeli minyak sawit dari Malaysi
Negative,Hal ini amat tidak masuk akal.
Positive,"operator bas henti-henti yang rata-ratanya adalah pengusaha kecil, mampu terus beroperasi walaupun kos operasi meningkat, selain kerugian dialami disebabkan sebahagian laluan tidak menguntungkan."
Positive,"Pada 2016 dan 2017, sebanyak 720,000 tan getah asli yang dihasilkan di Malaysia dibekalkan oleh pekebun kecil dan Lembaga Getah Malaysia (LGM) disarankan agar mengkaji kaedah bagi meningkatkan penggunaan getah yang boleh dikomersialkan"
Neutral,"Bagaimana kerajaan akan atasi masalah tambang yang terlalu mahal ini supaya pengundi di Sabah dan Sarawak ini dapat balik untuk mengundi,"
Positive,"Kita pertahankan hak keistimewaan Melayu, agama Islam sebagai agama persekutuan, bahasa Melayu sebagai bahasa kebangsaan dan kedaulatan"
Negative,yang melabelnya sebagai zalim kerana hakikatnya beliau yang mewujudkan Akta Keselamatan Dalam Negeri (ISA) dan menahan beratus orang.
Negative,Kedua-duanya mengalami krisis ekonomi dan politik
Positive,Semua manusia dilahirkan bebas dan sama rata dari segi maruah serta hak
Positive,Inkues yang dicadangkan itu selaras dengan keprihatinan yang orang ramai tunjukkan terhadap kes ini
Positive,mengenepikan perasaan cemburu dan iri hati serta berbincang dalam merencanakan sesuatu agar berlaku adil
Positive,Dan beliau juga adalah antara pemimpin yang banyak menggalakkan kita menceburi bidang keusahawanan
Neutral,Peniaga diwajibkan menjual 13 barangan itu pada harga lebih rendah atau tidak melebihi harga maksimum dan meletakkan tanda harga khas merah jambu bagi membezakannya dengan barangan lain
Neutral,"Kalau kita tengok mana-mana negara, mereka gunakan bab agama mereka pasti satu, ingin menghukum, kedua, mereka ingin mengubah dan perkataan ‘balik ke pangkal jalan’ itu sendiri menunjukkan persepsi mereka dah ada"
Negative,kesal apabila ada pihak mempertikaikan tindakkanya memuat naik video di laman Instagram (IG) memaparkan dirinya tampil seksi dengan gaun ketat singkat dan tanpa lengan.
Positive,Perdana Menteri Datuk Seri Najib Tun Razak telah menyatakan beliau tidak pernah mempertikaikan sumbangan Robert Kuok kepada ekonomi negara.
Positive,Kadar kebolehpasaran graduan di negara ini pula adalah sebanyak 79.1%
Negative,"Kami menghantar permintaan terus kepada pengendali laman itu Ahad lalu untuk membuang fail itu, tetapi tidak mendapat sebarang respons"
Positive,"pihaknya berharap sepanjang tempoh berkempen, tiada unsur sabotaj yang cuba dilakukan pihak lawan."
Negative,"walaupun mereka mungkin berupa 'underdog', tetapi, sekiranya jentera parti bijak menyusun strategi, BN mempunyai peluang yang baik untuk menang, manakala calon berpengalaman seperti Zulhasnan dan Raja Nong Chik pasti mempunyai kelebihan, berbanding calon pembangkang."
Positive,"Saya nak lihat kakitangan melakukan tugas dengan tiada ketirisan berlaku, mencapai KPI yang ditetapkan dan mematuhi peraturan dengan penuh integriti"
Positive,Apa yang tersebar di media sosial ini seharusnya disiasat pihak berkaitan seperti Suruhanjaya Komunikasi dan Multimedia (MCMC) supaya ianya tidak menjadi satu perkara yang boleh menyebabkan provokasi kepada rakyat lebih-lebih lagi menjelangnya PRU14
Positive,tidak wujud paksaan kepada pengundi dan rakyat bebas untuk mengundi calon pilihan mereka pada pilihan raya ini.
Positive,Emosi mereka cukup jelas
Positive,Saya melahirkan rasa kagum dengan sikapnya
Positive,Saya percaya perbuatan jijik dan tidak bertanggungjawab Namewee in tidak mendapat sokongan rakyat berbilang kaum dan agama di negara ini
Negative,"Sebelum ini, kalau saya bawa pelancong di warungwarung, kedai makan atau tepi sungai, pasti penduduk akan jauhkan diri. "
Negative,"Malangnya, kos logistik di sebalik projek ini sangat besar"
Positive,"Terima kasih kepada langkah yang berani itu, walaupun hanya tinggal enam bulan lagi pada tahun itu, kita melihat trafik penumpang di LCCT melonjak 31 peratus kepada 7.6. juta daripada 5.8 juta pada 2006,"
Negative,Saya bimbang lihat pengguna jalan raya yang menggunakan telefon bimbit terutamanya penunggang motosikal. Ini adalah satu tindakan yang tidak wajar kerana ia boleh mengganggu dan membahayakan nyawa pengguna jalan raya lain
Positive,"Jika mahu dilihat jujur, kita wajib berlaku jujur"
Negative,"Buku-buku jarang dibaca kerana tahap pembacaan di Malaysia ini sangat kurang,"
Negative,"Berkaitan amalan kebebasan, ada yang berhujah bahawa hak untuk mengundi terangkum juga hak untuk tidak mengundi."
Positive,"Dengan STEM dijadikan sebagai keutamaan dalam pelan pendidikan Malaysia, pelan pelaksanaan STEM sedang dimuktamadkan oleh kerajaan bagi memastikan Malaysia bergerak seiring dengan perubahan teknologi semasa"
Negative,Semua tahu yang nak jual tanah dan aset negara ialah pimpinan sekarang bukannya Tun Mahathir
Positive,"Kalau Tan Sri tak benarkan kami membawa keluar, terpaksa akur. "
Neutral,"Sebenarnya tradisi Kelantan menerima satu atau dua calon luar itu biasa, bukan perkara baru"
Positive,Kita tak nafikan memang ada pembangunan seperti pembinaan hotel baharu sewaktu zaman Najib namun umum perlu tahu di Langkawi sudah jadi kelaziman bagi pembinaan seperti itu
Positive,"Apabila undi berpecah antara dua pakatan pembangkang, sudah tentu ia memberi kelebihan kepada BN"
Positive,"Jadi tidak dinafikan Mahathir masih mempunyai hubungan peribadi yang rapat dan kuat dengan penduduk di Kedah, terutama di Kubang Pasu, apatah lagi di Langkawi,"
Neutral,"Saya pun tak tau tuan-tuan, saya bagi tahu"
Positive,Lagipun ini negara demokratik dan sesiapa pun boleh bertanding jika mereka mahu
Positive,"Apabila PRU hampir menjelang tiba, kerajaan pun terus umum bina sekolah rendah Cina"
Negative,Kelompok pertama yang didiskriminasi oleh polisi baru ini ialah golongan graduan kelas kedua atas dan kelas kedua bawah yang sebelum ini berpeluang menjadi pegawai tadbir diplomatik dalam perkhidmatan awam
Positive,Ini membuktikan kita buat (rampas dan dakwa) secara terperinci
Positive,Kita akan sentiasa bergabung antara satu sama lain
Positive,Kita kena serahkan bulat-bulat kepada pucuk pimpinan parti untuk menentukan siapa calon yang akan dipertandingkan
Negative,Ini tidak adil kerana mereka juga mangsa banjir.
Neutral,Malaysia tidak ambil tahu siapa yang hendak masuk?
Positive,Parti-parti politik tidak wajar berasa bimbang dengan ketelusan proses pilihan raya sedia ada yang diamalkan di negara ini
Negative,"mengulas lanjut tidak menafikan kemungkinan wujud cubaan menyogok pengundi oleh pakatan pembangkang, namun menyebarkan dakwaan perbuatan itu dilakukan untuk mengaburi kegiatan berkenaan."
Positive,"Macam di negeri-negeri lain baru-baru ni, pemilihan kerusi menjadi topik hangat tapi akhirnya semua akur."
Positive,pengundi perlu keluar mengundi kerana parti yang menang akan membentuk kerajaan
Positive,Kebanyakan daripada 718 pusat Tahfiz berkenaan adalah tidak berdaftar dan fokus utama pada fasa pertama adalah kerja pendawaian semula
Negative,Namun kadang-kadang perkara sebegini tidak dapat dielakkan akibat emosi yang tidak terkawal.
Positive,"Justeru, apabila mendapat tahu kerajaan memperkenalkan SMO, saya segera mencari calon PRA melalui ejen di Indonesia dan membawanya masuk untuk didaftarkan"
Negative,1MDB ditubuhkan untuk melakukan projek khusus dan asalnya ia menggabungkan semua projek berkait janakuasa tenaga dan kemudian projek itu mengalami beberapa masalah dan memerlukan penstrukturan semula
Positive,"Selain kedua-dua negara mempunyai perjanjian kerjasama dalam bidang keselamatan, lawatan itu mampu mengukuhkan lagi hubungan dua hala Malaysia dan Arab Saudi"
Neutral,Jadi diplomat itu hadir atas kapasiti dan kedudukannya sebagai negara anggota PBB
Positive,Apa yang dilakukan kerajaan pada masa ini adalah untuk terus meningkatkan kemajuan bidang pendidikan dan proses pembelajaran dan pengajaran. 
Negative,Ini semua rancangan rangkaian dedak teratur yang cuba kelirukan rakyat dan burukkan Bersatu
Positive,"Sudah, cukuplah... jangan pandai-pandai membuat komen mengenai Taman Ilmu yang dibangunkan untuk pendidikan masa depan rakyat Terengganu."
Neutral,Takkan kami nak ambil orang luar?
Negative,"Gerakan ialah parti yang baik, tetapi orangnya (Liang) tidak baik kerana menipu, janji mahu tolong macam-macam, tetapi tidak buat"
Negative,"Kalau kita gunakan Akta Pengambilan Tanah 1960, kerajaan akan 'bunuh' legasi Kampung Baru yang selama ini adalah hak milik orang Melayu dan anugerah hasil perkenan Sultan Selangor."
Negative,"Itu yang dia tak faham, tak faham ulasan saya"
Negative,"Ayatnya berbunyi, ‘strategi politik calon Perdana Menteri sementara Pakatan Harapan yang diketuai oleh DAP, Tun Dr Mahathir Mohamad dibimbangi mencontohi perbuatan Abdullah Bin Ubay’."
Positive,menyediakan peruntukan bagi membaik pulih bangunan kuil serta membaik pulih dan menaik taraf Sekolah Jenis Kebangsaan Tamil
Positive,Pihak kami akan menaja pendidikan mereka sehingga peringkat tertinggi
Positive,Dalam kabinet (persekutuan) pun ramai menteri datangnya dari Sarawak
Neutral,"“Dia (Ali) memang ada berikan wang kepada keluarga setiap bulan, tetapi tidak ada hitam dan putihnya, memandangkan ia selalu diberikan secara terus"
Neutral,"Malaysia telah mengemukakan permohonan berkenaan sejak dua tahun dahulu melalui Wisma Putra kepada Kementerian Luar Thailand...sehingga hari ini, kita masih menunggu jawapan daripada negara berkenaan"
Positive,"Berjuanglah dengan gagah berani tanpa tolak ansur dan bila sudah menang, jalankan amanah sebagai pemimpin"
Negative,GSPS yang diamalkan perlu difikirkan dalam setiap sudut supaya untuk elak situasi tidak membuahkan manfaat tetapi yang lebih teruk memberi kesan negatif kepada pelaksana GSPS tersebut
Neutral,Tiada sebab untuk JPPM melewatkan pendaftaran PH.
Negative,"Setiap kali musim perayaan, banyak lebuh raya sesak kerana lorong sedia ada tidak mampu menampung jumlah kenderaan yang bertambah"
Negative,"Ada juga saya cuba mencari kerja, tetapi panggilan temu duga pun tidak dapat"
Positive,"Defendan (Mohd Rafizi) seolah-olah ingin memberi gambaran bahawa LTAT tidak punya dana yang cukup untuk membayar gratuiti pesara-pesara tentera, walhal kenyataan tersebut adalah tidak benar sama sekali"
Positive,Kita juga mohon KKM untuk mempertimbangkan bagi menambah pusat dialisis di Chemomoi kerana agak jauh untuk mereka datang ke Hospital Bentong
Neutral,"ROS masih siasat, ada banyak aduan"
Negative,Bulan ada untuk sokong BN
Positive,"Harapan kita agar isu berkaitan golongan muda seperti pekerjaan, pendidikan dan perumahan diberi perhatian dalam manifesto yang bakal diumumkan itu."
Negative,"Semasa Pilihan Raya Umum Ke-13, dakwaan tentang 40,000 rakyat Bangladesh dibawa masuk ke Malaysia bukankah berita palsu?"
Positive,"Perkara ini juga memerlukan kesatuan politik, insya-Allah kita dapat bangunkan negara yang bersatu padu"
Neutral,"Apa yang Rafizi katakan ialah pendaftaran tanah itu dibuat pada Mac, ketika saya jadi pengerusi, tetapi kami juga tidak tahu atau diberitahu tentang pendaftaran plot itu"
Positive,"Tribunal bukan sahaja mengendalikan kes gangguan seksual, tetapi berperanan memberi nasihat, cadangan serta laporan keberkesanan dari semasa ke semasa kepada kerajaan"
Positive,"Bukan mahu menidakkan kemampuan lawan, tetapi inilah perjuangan kita dalam menentukan kesejahteraan rakyat dan mempertahankannya sehingga generasi akan datang."
Neutral,Bank Negara harus mengeluarkan kenyataan berhubung status bon tersebut.
Positive,"Runding baik-baik, cari penyelesaian, semua boleh bincang"
Positive,"Kita lakukan ini demi rakyat... kerana pada penghujung hari, kita semua adalah rakyat Malaysia, kita mencari wang di sini dan Mydin membuat RM50 hingga 70 juta setahun"
Negative,Tidak ramai yang ada sifat-sifat seumpama itu walaupun ramai yang mendakwa memilikinya
Negative,"Bulan ini tidak boleh menang, dia buat kacau sahaja."
Negative,Perdana Menteri Najib  Razak sendiri telah mengeluarkan saman fitnah terhadap Ahli Parlimen Petaling Jaya Tony Pua kerana mengeluarkan fitnah terhadap beliau selain Naib Presiden PKR Rafizi Ramli yang disaman oleh Lembaga Tabung Angkatan Tentera (LTAT) atas fitnah yang dikeluarkannya berkaitan 1MDB.
Positive,"Dengan penambahan operator penerbangan, dapat memberi pilihan tambahan kepada rakyat untuk meneruskan aktiviti perhubungan perniagaan, urusan kerajaan, pendidikan dan pelancongan di Labuan"
Positive,"Tapi ada raya sebelum raya puasa dan raya itu dah nak dekat,"
Positive,paip ini tahan lebih lama dan tidak mudah rosak jika dijaga dengan elok
Negative,"polis terpaksa menumpukan perhatian kepada kawasan yang dianggap sebagai hotspot, selain 1,131 individu yang dikenal pasti mempunyai kecenderungan untuk menimbulkan isu dan kekacauan semasa PRU-14."
Positive,Kita tahu Jempol kubu kuat Umno di Negeri Sembilan kerana ada kawasan-kawasan Felda
Negative,Itu yang terjadi apabila seseorang yang ambil dadah campuran ini yang mana mempunyai dos yang sangat tinggi lalu menyebabkan mereka berkelakuan berbeza daripada orang lain dan di luar jangkaan
Negative,"Ini bermakna lebih baik, cuma jadi buruk apabila pergi ceramah pembangkang dengar kata mereka, kita sihat boleh jadi demam"
Negative,Dong Zong adalah perwakilan puak-puak chauvinis dan oportunis yang cuba mengambil kesempatan dan tuntutan mereka boleh dilihat sebagai menangguk di air keruh memandangkan PRU14 sudah semakin hampir
Neutral,"Bukan sahaja di Malaysia, bahkan di luar negara"
Positive,Kehadiran pemerhati asing pada PRU14 dialu-alukan 
Positive,"Kita melihat ini adalah cadangan baik kerana berdasarkan prosedur kita juga, kanak-kanak itu boleh ditempatkan di setiap institusi kita berdasarkan perintah mahkamah yang diberikan namun ini adalah jalan akhir kepada penyelesaian berkenaan"
Positive,"Kita bukan nak galakkan minum ketum, kita nak tanam untuk bawa daun ketum ke luar negara"
Positive,Nanti saya yakin mereka akan membawa beg plastik sendiri untuk dapat 20 sen dan lama-lama akan jadi satu cara hidup bawa beg sendiri
Negative,Tiada penguatkuasaan dijalankan untuk memastikan semua syarikat membayar gaji minimum
Positive,ini bagi mengelak calon berkenaan berdepan masalah selepas hari penamaan calon.
Negative,"Hingga ke hari ini, kita tidak diberi penjelasan sebenar bagaimana kecurian ini berlaku"
Positive,"Oleh itu, tidak boleh ada kebimbangan dalam kalangan bukan Islam jika terputusnya hubungan keluarga, dengan sebab menganut Islam"
Positive,Ini bermakna penyelesaian bukanlah dengan mengambil jalan mudah seperti menukar kerajaan atau perdana menteri
Negative,awas gelombang fitnah
Neutral,Malaysia adalah sebahagian nusantara yang menerima Islam lebih 700 tahun dulu
Positive,"Jadi, saya kata, biar kita lakukan ini sebagai sebahagian daripada tanggungjawab sosial korporat"
Positive,Akhirnya ia membolehkan kita memberikan jawapan yang tepat. Alhamdulillah kempen ini memberikan kesan yang baik
Positive,Ini tindakan yang saya rasa tidak ganggu kerja kami.
