label,text
Neutral," Tetapi, ia perlu didasari dengan semangat demokrasi seperti kebebasan pelajar untuk memilih."
Negative,"Kau nak tahu dua tiga hari lagi kamu tengok, celaka sungguh binatang ni"
Neutral,"Sebaik sahaja usul itu diluluskan di Dewan Rakyat dan mendapat persetujuan Yang di-Pertuan Agong untuk diwartakan, ia akan menjadi usul dan tidak perlu dibawa ke Dewan Negara"
Neutral,"Kami mempunyai kewajipan untuk mencari semua yang dikehendaki atau (sesiapa sahaja) dalam senarai itu, termasuk dalam notis merah Interpol. "
Positive,"Mana-mana dana yang tidak mencapai skor minimum penilaian tahunan, akan digantung dan tidak boleh ditawarkan dalam tempoh berkenaan.”"
Positive,"Ada kemungkinan besar yang 'makan dedak' dan wujud tali barut Tun Mahathir Mohamad (Pengerusi Bersatu) dalam ROS dan jika ada, siasat segera individu ini"
Negative,MAIPs mengecam aktiviti Perlis Hope membantu golongan miskin
Negative,"Ini tidak masuk akal, dengan pemilik berbeza, sistem berbeza dan tentunya tiada integrasi"
Neutral,Akta ini juga sudah disemak jawatankuasa dan pesuruhjaya penyemakan undang-undang melalui peruntukan mengikut Akta Penyemakan Undang-Undang 1968 pada 1969
Positive,Kami merancang membangunkan kemudahan perkilangan yang baharu di kawasan itu yang dijangkakan dapat mengukuhkan kecekapan syarikat dalam menyediakan produk berkualiti kepada pelanggan
Neutral,Logo Produk Ummah sama fungsinya seperti logo halal JAKIM
Positive,Ini tindakan yang saya rasa tidak ganggu kerja kami.
Negative,"Shafee beritahu penonton dia sedia berdebat dengan sesiapa sahaja, termasuk Majlis Peguam Malaysia berkaitan sabitan itu, tetapi dia tidak bersedia pula untuk hadir ke mesyuarat Badan peguam Malaysia untuk mempertahankan diri"
Positive,Sebab itu kita nak ambil balik tanah
Positive,Kita sedang mengkaji dari pelbagai sudut Perlembagaan bagaimana kita boleh mengenakan cukai ke atas sumber-sumber kita yang ada bagi menambah hasil pendapatan negeri
Positive,"LHDN tidak kira siapa, selagi ada pendapatan di Malaysia, syarikat yang didaftar di Malaysia dan ada pendapatan, kalau tidak bayar, ‘income tax’ akan kejar anda."
Positive,calon wanita juga mempunyai kelayakan kerana telah melalui saringan yang ketat daripada senarai calon berpotensi lelaki dan perempuan.
Negative,Niat mereka ialah untuk menyerang Kota Suci adalah sama seperti melanggar rukun Islam yang menjadi tiang agama
Positive,"Pastikan pilihan raya akan datang, semua rakan Felda menggambarkan kekuatan, menterjemahkan impian Tun (Abdul) Razak menjadi kenyataan kita bersama"
Positive,Kerajaan juga memperuntukkan subsidi kesihatan yang tinggi setiap tahun
Negative,"Memang berlaku kegagalan dalam syarikat itu, ada kesilapan kerajaan"
Positive,Kami mohon geran padanan sebagai usaha membawa pembangunan seimbang untuk peneroka Felda
Neutral,Antara perkara lain yang perlu dimasukkan ialah penyebaran iklan di media sosial mengenai produk yang tidak mendapat kebenaran seperti ubat-ubatan yang tidak mendapat kelulusan Kementerian Kesihatan.
Positive,Rakyat Malaysia inginkan satu penyelesaian konkrit daripada kerajaan untuk mengatasi masalah ini.
Positive,"Sekolah tidak lagi perlu mengejar GPS kerana penilaian murid sekarang melibatkan pencapaian akademik, pentaksiran bilik darjah; pentaksiran aktiviti jasmani, sukan dan kokurikulum serta pentaksiran psikometrik"
Negative,"Akhirnya, GPS telah menyebabkan kami terlupa kepada individu murid yang unik dan berkebolehan"
Negative,"Pada saya ‘consultant’ sebegini hanyalah mengenai ‘con’, ‘insult’ dan ‘turn’."
Positive,"Saya tidak terperanjat YB Rafizi kini sokong kepentingan syarikat lebih daripada kepentingan umum, lebih sokong kronisme dan nepotisme berbanding ketelusan"
Positive,Bagi PAS aset ini perlu dikawal dan kita akui penyelesaian kepada isu 1MDB ini tak boleh selesai dengan hanya kita serah kepada dia (kerajaan)
Negative,Setakat ini mereka belum memberikan jawapan kepada cadangan inkues
Negative,"Walaupun ada BR1M untuk B40, ia hanya seperti beri Panadol kepada pesakit kritikal"
Neutral,"Apa yang berlaku dalam jemaah menteri semua itu rahsia, melainkan kalau perdana menteri sendiri nak bercakap atau ada jurucakap yang dilantik."
Positive,Sebelum CMC beroperasi sepenuhnya kita sudah memantau melalui sistem sedia ada dan kita perkuatkan apabila CMC beroperasi
Neutral,Sebabnya kita sedang menunggu calon yang baik untuk jadi menteri kewangan
Neutral,"Hanya rakyat Sarawak, dan bukan orang luar"
Positive,Kanak-kanak dalam rakaman video itu adalah kanak-kanak autisme pintar yang berupaya menyelesaikan masalah Matematik dan Kimia seawal usia enam tahun.
Positive,Kerajaan Malaysia khususnya Kementerian Pengangkutan akan memastikan impian itu dipenuhi
Neutral,Pulau Pinang juga sebahagian daripada Malaysia.
Positive,"Kita tak akan mengalah, lawan tetap lawan"
Negative,"Berpakat dengan Harapan pun boleh, tapi dia marah. "
Positive,"terima kasih atas sumbangan yang begitu besar,"
Positive,"Maknanya jelas, tak payahlah saya cakap panjang sebab orang Langkawi pun faham, orang India Langkawi pun faham bahawa hanya BN sahaja yang kita boleh letakkan harapan kita."
Positive,"Moratorium mungkin bukan langkah yang baik kerana sudah ada lebih 200,000 dari mereka yang bekerja di Malaysia"
Positive,Saya cukup beri perhatian berat kepada orang Sabah.
Positive,Keperluan air di Langkawi sudah berada pada tahap maksimum sebab itu kita ingin bina tempat takungan air bagi memastikan keperluan cukup.
Positive,Sukarelawan yang berada paling dekat dalam lingkungan lima kilometer dari kawasan terbabit akan datang ke lokasi untuk memberikan bantuan
Positive,"Elakkan menghukum, biarpun mereka ini seorang pendosa"
Positive,Ia diukur satu per satu berdasarkan kebolehan murid
Positive,"Jadi bayangkan, akhirnya kalau semua rakyat ini memikirkan kalau bawa beg plastik dapat 20 sen."
Positive,Kita sudah lengkapkan siasatan dan tindakan lanjut kita serahkan pada peguam negara
Positive,Program anjuran Barisan Nasional (BN) Kota Belud itu juga membuktikan keprihatinan parti tersebut dalam membantu mengurangkan kos sara hidup dan beban rakyat terutama dalam soal barang keperluan asas
Positive,"Memang sangat bagus jika doktor, pakar atau jururawat kerajaan pergi bertugas di luar negara untuk tingkatkan kemahiran mereka, kemudian pulang berkhidmat dalam negara"
Negative,"Idea ini dibawa oleh individu sehingga Pas yang begitu Melayu dan Islamnya boleh bekerjasama, tapi sekarang ini semuanya telah berubah apabila Pas keluar daripada PR"
Positive,"Antara penyumbang kepada faktor ini adalah, kesedaran penduduk terhadap kegagalan kerajaan Pas mentadbir Kelanta"
Positive,"Kalau dia isytihar, kita akan kenakan cukai"
Positive,"Kami bersedia untuk berkongsi pengalaman dan pengetahuan dalam pembangunan ekonomi dan sosial dengan negara membangun lain, seperti melalui rangka Program Kerjasama Teknikal Malaysia (MTCP), yang telah menunjukkan kesediaan Malaysia berkongsi pengalaman pembangunannya dengan negara-negara Selatan-Selatan."
Positive,"Justeru, industri yang sedia mengeluarkan produk peranti perubatan diiktiraf halal sememangnya menunggu pensijilan halal oleh JAKIM ini"
Positive,"Sejak 2013 hingga 2016, sebanyak RM235 juta telah diperuntukkan kepada semua mangsa banjir di seluruh negara."
Positive,Mahu tidak mahu ahli parti perlu menerimanya demi kelangsungan parti.
Positive,"memberikan perspektif terbaik berkaitan isu 1MDB termasuk menjawab segala persoalan ketika sesi penerangan di seluruh negara, mendapat pujian ramai. "
Positive,"kerajaan BN yang stabil dan sederhana, atau Pakatan Harapan yang menjuarai zaman Mahathirisme!"
Positive,Kita masih berharap ‘untung sabut timbul’ dan kita mampu raih kemenangan
Positive,Gerakan mereka mula berkembang dan berpegang dengan hak undang-undang
Positive,"Kita percaya menjelang 2023, semua kemudahan asas meliputi 853 kampung akan selesai"
Positive,Mereka menerima kedatangan kami dengan baik
Neutral,Beberapa kampung di sini terlibat banjir serius seperti di Tehel dan Pondok Kempas.
Negative,"Usahlah percaya wayang mereka ini (pembangkang) yang ingin menjadi hero, kononnya boleh bangunkan Kampung Baru dalam sekelip mata"
Positive,Sepatutnya berbuat begitu  demi untuk menawarkan sesuatu yang lebih baik kepada rakyat.
Positive,"Ini tak benar kerana GST telah kita laksanakan sejak dua tahun lalu, sepatutnya tidak ada kesan sama sekali (pada harga barangan)"
Negative,Kekurangan 50 peratus tenaga buruh pada ketika ini akan memberikan kesan besar kepada produktiviti Keluaran Dalam Negara Kasar (KDNK) membabitkan kawasan Cameron Highlands yang terkenal dengan sumber ekonomi berasaskan pertanian dan pelancongan
Positive,"Secara  keseluruhan, keputusan SPM 2017 menunjukkan peningkatan pencapaian calon"
Positive,Najib bukanlah seorang diktator dan akan mengambil tindakan seperti itu
Positive,"Dengan mana-mana parti baru, akan ada masalah tetapi kami patuhi"
Positive,Malah kita tahu bahawa kita mempunyai SOP (Prosedur Operasi Standard) yang tertentu yang harus dipatuhi para majikan dan kerajaan Malaysia tidak akan pernah melindungi mana-mana majikan yang melakukan penderaan atau kezaliman
Negative,"Bila kami tekan mereka, mereka keluarkan surat kata nak roboh sekatan dan kami halang mereka masuk"
Positive,Sejarah demokrasi itu sendiri menunjukkan bahawa ia adalah mekanisme kepada penginstitusian atau pengiktirafan kepada hak dan kebebasan.
Positive,"Ini juga dilakukan setelah penasihat kejuruteraan telah menyemak, memeriksa dan akhirnya membuat cadangan kepada kerajaan negeri, barulah jumlah itu dibayar"
Positive,"Kini, mereka bangkit dengan kekuatan baharu, merancang strategi, merapatkan saf kepemimpinan dan menggiatkan usaha turun padang"
Positive,"Alhamdullilah, cuaca baik dengan keadaan angin rendah juga memudahkan operasi memindahkan semua pelancong dan kakitangan"
Negative,"Jangan jadi bacul dan penakut untuk buat fitnah menggunakan Whatsapp,"
Positive,Kita perlukan kerjasama semua pihak untuk meningkatkan kesedaran umum berhubung isu ini
Negative,"Menteri di Jabatan Perdana Menteri, Datuk Seri Shahidan Kassim menjawab kerajaan pusat kehabisan dana untuk bantu mangsa banjir di Pulau Pinang. "
Neutral,Sekadar mengaku ada kelemahan dan kesilapan tidak memadai
Negative,idak dibenarkan masuk ke pusat penamaan calon kerana kegagalan menunjukkan dokumen penting itu.
Positive,"Saya tandatangani kerana kita perlu ingatkan mereka yang kaya, wang tak boleh beli undang-undang"
Negative,Gabungan pembangkang PKR ditempelak supaya jangan pukul rata dengan mendakwa garis panduan tambahan yang diumumkan Suruhanjaya Pilihan Raya (SPR) semalam bersifat berat sebelah.
Neutral,Jadi kita tunggu pengumuman lain selepas Ujian Pencapaian Sekolah Rendah (UPSR) nanti
Positive,"Kita telah menghantar 2,000 khemah tertutup dan tambahan 2,000 khemah lagi yang diminta oleh kerajaan negeri akan dihantar selewatnya minggu depan"
Positive,Daripada  awal kita memang tidak terlibat langsung dengan pelaksanaannya kerana kebanyakan pihak berkuasa  tempatan (PBT) mempunyai pasukan yang memang pakar.
Neutral,Kami tahu wang yang banyak perlu dibelanjakan oleh pengedar dalam eksesais ini
Neutral,Saya berjumpa Menteri Besar Selangor kali kedua pada majlis hari raya tahun lalu dan bertanya perkara sama
Negative,Tapi sekurang-kurangnya kita harus diberikan ruang untuk membacanya dan ini (laporan) panjang
Negative,"Melalui wang ini kita akan membayar hutang…hasil diperoleh bukan membabitkan sehari dua, sebaliknya akan memakan masa lebih 10 tahun untuk menjana pendapatan daripada pembangunan jangka panjang terbabit."
Positive,"Jangkaan awal, maahad ini akan siap dibina empat tahun dari sekarang, atau mungkin lebih awal bergantung kepada dana diterima"
Negative,Ia boleh menimbulkan kesangsian rakyat terhadap mereka yang tidak terlibat membuat pengisytiharan. 
Positive,Bagi saya masalah itu telah selesai
Positive,Pencapaiannya agak baik di situ.
Neutral,Fungsi ini sama seperti sistem digunakan Uber dan Grabcar
Neutral,"Rebutan pada segmen pengundi baharu terutama pengundi muda, pengundi wanita dan pengundi atas pagar"
Negative,"Kadang-kadang pemangsa menyembunyikan identitinya, menyebabkan mangsa sukar melawan atau mempertahankan diri"
Neutral,Saya tak pilih kerusi Pekan atau Bagan Datuk
Negative,Negara-negara Asean nampaknya gagal merubah situasi yang melanda masyarakat Islam di Rakhine walaupun bukti genosid dengan pengakuan tentera Myanmar yang menemukan kubur mangsa etnik Rohingya namun tiada tindakan dilakukan kepada pihak terlibat
Positive,"“Sebagai pengedar Proton, kita tidak boleh menjual kereta kepada (ahli) Persekutuan Persatuan Hokkien dengan diskaun khas ini…ia ‘bypass’ pengedar, sebaliknya terus kepada Proton"
Positive,"Bahang kehangatan musim Pilihan Raya Umum Ke-14 (PRU14) bukan sahaja digunakan oleh parti politik sebagai medan untuk bertarung, tetapi ia juga memberi rezeki bermusim kepada sebahagian golongan peniaga."
Positive,"Dengan usaha gigih dan bantuan kerajaan, seorang anak peneroka Felda, nelayan atau petani kini mampu berjaya sebagai seorang profesional seperti jurutera, akauntan, doktor atau peguam"
Negative,Kita tidak boleh menolak kemungkinan kempen semasa PRU-14 boleh mendatangkan bahaya kepada orang ramai dan pekerja pilihan raya kerana pilihan raya umum kali ini dianggap ibu kepada segala pilihan raya yang bakal menjanjikan pertarungan sengit.
Positive,"Saya berharap tuan puan dapat tolong, mudah-mudahan kita dapat jadikan Malaysia semakin indah dan lagi hebat serta lagi baik"
Neutral,Bagaimana kita mewujudkan impak dengan mengundi?
Neutral,"Baiah buktikan setiap calon perlu bersiap sedia, bukan main-main kerana ada tanggung jawab dipikul."
Negative,"Gangguan seperti ini menimbulkan ketidakselesaan kepada pengguna yang terjejas oleh kerana mereka terpaksa berdepan paip tanpa air atau dalam kes tertentu, tekanan air sangat rendah"
Positive,"Sebab itu kalau dikira dari segi bilangannya, ia satu proses yang berterusan untuk didaftar kerana ada dalam kalangan mereka masih belum memahami kerana mereka boleh memanfaatkan ‘e-hailing’ ini"
Negative,"Seseorang individu, sejauh mana dia popular suatu ketika dahulu pun tidak boleh membawa perubahan tanpa ada kekuatan parti di belakangnya"
Positive,"""Kita bertuah kerana Pahang memiliki pelbagai khazanah alam yang cukup berharga termasuk pantai, tanah tinggi, sungai, taman negara dan pelbagai makanan yang juga merupakan produk pelancongan"
Positive,"Pakatan Harapan akan berusaha untuk mengurangkan, malah sebaiknya menghentikan kegiatan-kegiatan ini demi menjamin kehidupan yang lebih baik buat penduduk khususnya Orang Asli"
Positive,"Sebenarnya.my adalah sebuah portal untuk masyarakat Malaysia menyemak sebelum berkongsi berita yang diterima secara dalam talian melalui media sosial, perkhidmatan mesej segera, blog, laman sesawang dan lain-lain"
Negative,Mulanya saya tidak berminat
Positive,"Kita akui selain rawatan sedia ada, rawatan Islam secara spiritual dapat membantu penagih pulih sepenuhnya"
Positive,saya mahu semua program dijalankan mempunyai impak. Impak bermaksud memberi kesan dan manfaat kepada kumpulan sasaran.
Negative,Alasannya ialah Pulau Pinang hanya alami monsun pada 2013.
Positive,mencerminkan semangat kental dan kesungguhan BN untuk merampas kembali kerusi yang terlepas daripadanya pada pilihan raya umum lepas.
Positive,Kita perlu realistik
Neutral,Orang Asli perlukan hutan kerana itu sumber pendapatan mereka.
Negative,"Kalau dia (penjawat awam) tidak dapat kerja, dia tidak boleh dapat gaji."
Positive,"Sejajar usaha meningkatkan peluang pekerjaan dalam kalangan masyarakat India, SEDIC sudah mengadakan perbincangan dengan beberapa agensi kerajaan."
Neutral,Kini terpulang kepada  beliau untuk menentukannya
Negative,Respons saya ialah pergi berambus.
Negative,"Bila kita minta, mereka akan tar yang mana melalui kawasan kampung Melayu, tapi bila sampai kampung Siam, mereka pusing balik"
Neutral,"Orang bertanding hari ini untuk menang, bukan hanya berbangga dengan sejarah lampau"
Positive,"Sepatutnya tak payah fikir politik kalau sudah tua bangka, nak dekat mati ini"
Positive,Saya mahu tindakan diambil
Negative,"Malah, dunia Barat mula mengkaji semula kebebasan bersuara dan kini menganggap maklumat dan berita palsu sebagai bukan kebebasan bersuara tetapi ancaman kepada demokrasi"
Positive,Kuasa kerajaan ada bersama kita
Positive,Semua manusia dilahirkan bebas dan sama rata dari segi maruah serta hak
Positive,Pendaftaran dengan kerajaan penting supaya sekolah sentiasa dapat peraturan tatacara terkini kerajaan dari banyak aspek
Negative,Bukan bercanggah dan menentang arus sehingga pandangan tersebut menimbulkan syak wasangka rakyat kepada pimpinan
Positive,"Mungkin majikan ini mempunyai pekerja asing sebelum ini, tetapi pekerja asing itu tinggal lebih masa atau menyalahgunakan pas, maka majikan perlu bertanggungjawab"
Positive,Ini juga menjelaskan kepada rakyat bahawa kita serius dalam kepimpinan di peringkat kebangsaan dan negeri.
Positive,Stesen yang meletakkan pekerja di pam minyak selalunya menerima lebih banyak pelanggan daripada stesen yang mengamalkan sistem layan diri
Negative,"Walaupun rakyat semakin bijak menilai baik dan buruk, namun saya bimbang perkara berulang menyebabkan mereka terpengaruh"
Negative,Antara mereka yang terdedah kepada ancaman keselamatan ialah kakitangan Suruhanjaya Pilihan Raya (SPR) dan agensi kerajaan yang terlibat dalam memastikan kelancaran proses pemilihan.
Positive,"Sebagai pesara polis dan kini anggota RELA, saya tidak pernah gentar berhadapan musuh (pengganas Kiram) yang cuba mengganggu keamanan dan kestabilan bumi merdeka ini"
Negative,"Kepada yang tidak terpilih, walaupun kecewa tetapi berpada-padalah merajuk"
Positive,"Jika ada peluang di masa depan, harapan saya ialah Malaysia akan berada di barisan hadapan"
Positive,"Setakat ini kita dah luluskan, kita ada empat calon. "
Neutral,"Kita tidak lihat sama ada majikan ada rekod jenayah atau rekod masalah mental, cuma dilihat jumlah gaji sama ada mampu bayar atau tidak"
Negative,Beliau berkata keputusan untuk membubarkan Parlimen esok tidak terlambat seperti didakwa oleh pembangkang kerana pilihan raya umum diadakan dua bulan lebih awal daripada yang diperlukan.
Negative,Tuntutan ini juga boleh dilihat sebagai satu ugutan kepada kerajaan menjelang PRU14
Neutral,"Sama ada saya akan bertanding atau tidak, kamu akan tahu pada hari penamaan calon. "
Negative,satu kenyataan mengecam syarat tambahan SPR mengenai penggunaan bahan kempen sambil menyifatkan langkah melarang gambar sebagai tindakan terdesak
Positive,Apa yang kita mahu ialah ‘kualiti’ pertumbuhan dan bukan ‘kuantiti’ pertumbuhan
Positive,"Saya lihat Datuk Seri Najib, Perdana Menteri yang sangat peka dengan isu wanita"
Positive,Saya sangat teruja dengan pemimpin terdahulu yang mahukan semua kaum di negara ini bersatu. 
Neutral,"Saya ingin ingatkan dokumen tersebut tidak boleh disiarkan sehingga dibentangkan Rabu 28 Mac,"
Positive,"Pada masa yang sama, kalau mereka berhijrah ke ‘e-hailing’ mereka boleh juga mengikut mana-mana syarikat yang ada di Malaysia ini tak kira Uber, Grab, mereka boleh manfaat dari situ menggunakan aplikasi (e-hailing)."
Positive,"Sesiapa yang memburukkan parti tanpa merujuk pucuk pimpinan, maka, kami anggap ini satu tindakan jahat dan kami akan ambil tindakan tegas"
Positive,Kami dapat sahkan bahawa kedua-dua pihak sudah perolehi keputusan secara baik dan sulit
Positive,Walaupun semua itu takdir ALLAH namun usaha pencegahan kesedaran perlulah di tekankan kepada semua pelajar khususnya di pusat tahfiz
Negative,"Sekiranya pokok ditebang dalam rizab hutan ini, akan datang masa apabila paip akan kering dan rakyat serta perniagaan di  Perlis, Kedah dan Pulau Pinang akan menderita"
Positive,Ia memenuhi keperluan kumpulan sasaran dalam julat premium super.
Positive,Walaupun Mary berusia 69 tahun tetapi prestasi cara kerjanya sangat baik seperti orang muda.
Negative,"Di negeri lain boleh dapat RM500, tapi di Pulau Pinang hanya dapat RM250 saja."
Positive,"Tidak wujud pecah undi Melayu untungkan siapa, tak ada konsep itu."
Positive,Menangani hakisan pantai perlu diberi perhatian dalam dasar awam kerana kemusnahan pesisir pantai akhirnya akan menyebabkan kerugian ekonomi yang berbeza-beza
Positive,Kita berjalan dan jumpa orang kita tahu apa dalam fikiran mereka.
Negative,Kementerian Dalam Negeri telah mula menghantar pegawai dan anggota polis ke beberapa kawasan panas yang mana pergaduhan dan kekacauan dijangka tercetus semasa PRU-14.
Positive,"(Laporan) itu boleh diterjemahkan menjadi dasar kerajaan selama 30 tahun lagi, jadi saya menggalakkan semua pihak mengkaji laporan itu"
Positive,Kami sudah mengumpulkan bahan ceramah dan dihasilkan dalam bentuk manual bagi memudahkan penceramah.
Positive,Kita akan jual terus rumah ini kepada penduduk guna konsep sewa beli
Positive,Perdana Menteri sebagai Pengerusi 1MDB perlu menjelaskan sumber pembayaran kepada IPIC dan alasan-alasan kenapa pembayaran RM14 bilion secara fraud kepada IPIC dibuat oleh 1MDB
Positive,parti gabungan itu tetap  mempunyai peluang yang baik untuk merampas kembali kerusi yang terlepas daripada genggamannya  berdasarkan barisan calon yang kuat serta berkemampuan yang diumumkan itu.
Negative,"Berdasarkan statistik Pasukan Tindak Balas Kecemasan Komputer Malaysia (MyCERT), sebanyak 7,962 kes ancaman siber dilaporkan sepanjang tahun lalu"
Positive,Inilah nilai bahasa Inggeris dan kita tak akan hilang bahasa kita seperti orang Jerman
Negative,Pelbagai agenda dirancang untuk menyelitkan kebencian rakyat kepada BN di mana-mana sahaja.
Positive,"Beliau sendiri meminta agar isu ini tidak lagi dipolemikkan dan berlandaskan alasan itu, kita terima dengan cukup berlapang dada"
Positive,Jadi risiko untuk berlaku kebakaran itu adalah sedikit
Positive,Peningkatan ini disokong sebahagiannya daripada pemulihan harga minyak mentah dunia
Positive,Kerajaan China melalui duta besarnya (di Malaysia) menyatakan komitmen mengimport minyak sawit (Malaysia) sekiranya negara Kesatuan Eropah (EU) tidak lagi mahu membeli minyak sawit dari Malaysi
Positive,"Sebelum nak suruh Kelantan berterima kasih kepada pusat, belajarlah berterima kasih dulu pada Kelantan"
Negative,Pada masa sama tiada seorang pun daripada mereka yang terlibat dengan skandal NFC (National Feedlot Corporation Sdn Bhd) dihadapkan ke muka pengadilan
Positive,Beliau menyambut baik dan akan membuat kenyataan bagi menyokong tuntutan terbabit dalam satu kenyataan dalam tempoh terdekat dan kami rasa terharu dengan sokongan yang diberikan
Positive,"Amini mempunyai hak berpendapat sedemikian tetapi beliau harus tampil dengan hujah konkrit, dan tunjukkan bahagian yang mana yang tak bagi peruntukan kepada Bumiputera"
Negative,Perdana Menteri telah melepaskan peluang untuk bercakap benar kerana enggan menjelaskan kepada rakyat Malaysia secara adil dan telus berkaitan fakta sebenar skandal 1MDB yang melibatkan perbuatan jenayah beliau
Neutral,"Soal (pemilihan) calon itu bukanlah hak kita, soal calon adalah hak muktamad Presiden Umno atau Pengerusi BN."
Positive,Kita turut memperkasakan kakitangan mengenai aspek keselamatan termasuk kebakaran dan ia dijalankan secara berterusan.
Positive,"Jika benar wujud masalah, prosedurnya adalah pengadu berikan salinan kepada parti, atau ROS hantar salinan supaya kami dapat selesaikan secara dalaman, jika gagal selesai barulah rujuk Akta Pertubuhan"
Negative,"Angka ini amat membimbangkan, malah ia secara tidak langsung menunjukkan masih ramai tidak mengambil berat mengenai tip keselamatan ketika berada di air."
Positive,Mereka dah berani gunakan Bahasa Inggeris.
Neutral,Jalan yang kita rasmi ini dicadangkan dalam Rancangan Malaysia Ketujuh lagi. 
Neutral,"Justeru, NUTP memohon penjelasan kementerian selain sama ada pengagihan telefon bimbit itu akan dihentikan atau sebaliknya"
Positive,"Pada masa sama, kita berharap universiti yang ada kepakaran seperti kaunseling dan psikologi, bekerjasama dengan pusat ini supaya pendekatan rawatan serta pemulihan secara saintifik dan spiritual bergerak seiring"
Positive,"Inisiatif Felda 2.0 adalah usaha kita untuk merapatkan jurang pendapatan antara luar bandar dengan bandar selain menjadikan komuniti Felda sebagai komuniti pintar dan lestari,"
Positive,Ini menunjukkan peniaga beretika dan memahami tentang tanggungjawab mereka terhadap negara
Negative,Kenapa sehingga kini tiada tindakan sedangkan banyak aduan rasmi sudah dihantar
Neutral,"Kalau ada apa-apa, kita minta kebenaran. "
Neutral,"Rakyat pun faham, antara petanda hampirnya pilihan raya adalah janji-janji pemimpin kerajaan yang manis dan indah-indah belaka"
Positive,Dakwaan itu tidak tepat dan isu itu sengaja digunakan sebagai permainan politik parti pembangkang
Positive,Kita perlu menggunakan potensi ini untuk kesejahteraan bersama
Negative,"Ada janji-janji parti tertentu yang betapa enak kita dengar, betapa seronok kita rasa tapi kalau boleh mengganggu gugat keselamatan negara ia tidak beri apa-apa erti,"
Negative,"Isu ini berlegar setiap kali tiba musim pilihan raya sejak dahulu lagi. Walaupun kebenaran berita ini boleh diragui, namun ia mampu mencetus kebimbangan seterusnya menjejaskan kredibiliti sistem pilihan raya secara keseluruhannya."
Positive,Lagipun ini negara demokratik dan sesiapa pun boleh bertanding jika mereka mahu
Negative,Sindiket cuba menyembunyikan kayu balak itu daripada dikesan pihak berkuasa dengan cara menimbuskan tanah di atasnya
Negative,"tapi saya rasa tidak, saya rasa kali ini Melayu akan tolak kerajaan hari ini"
Neutral,Pelbagai faktor perlu diambil kira termasuk unsur sabotaj kerana persaingan dalam perniagaan dan sebagainya
Neutral,"Perdana Menteri (Datuk Seri Najib Tun Razak) melancarkan pelan jalur lebar kebangsaan, sasaran kita pada ketika itu ialah mencapai kadar jalur lebar isi rumah 50 peratus sahaja"
Positive,"Dan untuk boleh membezakan antara apa itu yang benar dan apa yang palsu, kamu perlu lebih mengetahui mengenai segala-galanya"
Positive,Jumlah itu jelas menunjukkan negara ini mengalami ketidaksamaan yang besar antara kaya dan ‘Malaysia yang lain’
Negative,Itu tidak adil
Negative,"GST, harga barang mahal, isu integriti, pelaburan China, janji PRU13 yang tidak ditepati ditambah dengan pemecatan Muhyiddin Yassin dan Mukhriz Mahathir, antara alasan tambahan yang membuatkan pengundi sekarang marah"
Positive,"Penyerahan bantuan ini secara simbolik dijangka dibuat perdana menteri untuk pesawah di seluruh negara termasuk (kira-kira 57,000) pesawah di kawasan Lembaga Kemajuan Pertanian Muda (MADA) pada pertengahan Mac ini"
Neutral,"Sebenarnya tradisi Kelantan menerima satu atau dua calon luar itu biasa, bukan perkara baru"
Neutral,Tetapi perkara ini masih awal untuk dibincangkan
Positive,Selepas ini kita akan duduk bersama rakan-rakan dan tersukan rundingan
Positive,Sekarang kalau BN mendahului pun dengan peratus yang kecil.
Negative,Ia juga menyebabkan negeri-negeri mula membandingkan sesama mereka negeri mana yang mencapai GPS di sekolah rendah
Positive,"Saya boleh berhenti bila-bila masa sebab jawatan ini dikuasai oleh perdana menteri, namun lima tahun ini saya dah buat kerja saya."
Neutral,Persoalan kedua ialah kawalan kepada aset yang ada pada 1MDB supaya ia diletakkan di bawah kawalan parlimen agar tidak terlepas kepada pihak lain
Positive,Di waktu itu kita perlu pertahankan industri kita
Neutral,Saya ingin ingatkan dokumen tersebut tidak boleh disiarkan embargo sehingga ia dibentangkan Rabu 28 Mac
Negative,"Kita bimbang ada orang ambil kesempatan nak menggugat kestabilan Malaysia kerana negara ini merangkumi masyarakat majmuk, justeru setiap percakapan perlu berjaga-jaga dan sensitif"
Neutral,"Cabaran utama bagi mana-mana dana adalah kelas aset cenderung bergerak pada arah sama, menjadikan kepelbagaian sebagai tugas semakin mencabar"
Negative,Mustahil untuk memansuhkan pemeriksaan imigresen dan kastam bagi orang ramai yang keluar dari Singapura
Neutral,Bagaimanapun keputusan undi bergantung kepada perubahan sikap pengundi dan kesedaran mereka juga
Positive,Kami berharap dapat terus bekerjasama dengan kerajaan melalui Mapo dalam menambahbaik mekanisme menyelaraskan ketidakseimbangan untuk mangsa yang terselamat.
Negative,Masih ada terlalu banyak penggunaan beg plastik
Negative,"Kalau kita sibuk nak merampas kuasa mustahil kita nak kecapi apa yang kita dapat hari ini dan negara jadi kucar-kacir,"
Positive,Sebenarnya mereka ini perlu dibantu dari segi emosi dan mind set agar tidak berterusan hidup berpeleseran tanpa tujuan
Positive,Saya juga pernah memberi kredit dan pujian terhadap pentadbiran Kerajaan negeri yang diterajui beliau di mana menunjukkan kecemerlangan yang baik sekali dalam urus tadbir
